Files already downloaded and verified
Files already downloaded and verified

===> epoch: 1/200
train:
 1/782 [>...............................................................................]  Step: 5s195ms | Tot: 0ms | Loss: 4.6259 | Acc: 1.562% (1/64)
 2/782 [>...............................................................................]  Step: 136ms | Tot: 136ms | Loss: 4.6447 | Acc: 0.781% (1/128)
 3/782 [>...............................................................................]  Step: 133ms | Tot: 270ms | Loss: 4.6311 | Acc: 0.521% (1/192)
 4/782 [>...............................................................................]  Step: 133ms | Tot: 403ms | Loss: 4.6366 | Acc: 0.391% (1/256)
 5/782 [>...............................................................................]  Step: 133ms | Tot: 536ms | Loss: 4.6366 | Acc: 0.625% (2/320)
 6/782 [>...............................................................................]  Step: 132ms | Tot: 669ms | Loss: 4.6378 | Acc: 0.521% (2/384)
 7/782 [>...............................................................................]  Step: 135ms | Tot: 804ms | Loss: 4.6412 | Acc: 0.446% (2/448)
 8/782 [>...............................................................................]  Step: 132ms | Tot: 937ms | Loss: 4.6313 | Acc: 0.391% (2/512)
 9/782 [>...............................................................................]  Step: 132ms | Tot: 1s70ms | Loss: 4.6334 | Acc: 0.521% (3/576)
 10/782 [=>..............................................................................]  Step: 131ms | Tot: 1s202ms | Loss: 4.6245 | Acc: 0.781% (5/640)
 11/782 [=>..............................................................................]  Step: 151ms | Tot: 1s353ms | Loss: 4.6289 | Acc: 1.136% (8/704)
 12/782 [=>..............................................................................]  Step: 132ms | Tot: 1s486ms | Loss: 4.6358 | Acc: 1.042% (8/768)
 13/782 [=>..............................................................................]  Step: 132ms | Tot: 1s618ms | Loss: 4.6273 | Acc: 1.082% (9/832)
 14/782 [=>..............................................................................]  Step: 132ms | Tot: 1s751ms | Loss: 4.6207 | Acc: 1.339% (12/896)
 15/782 [=>..............................................................................]  Step: 132ms | Tot: 1s884ms | Loss: 4.6211 | Acc: 1.354% (13/960)
 16/782 [=>..............................................................................]  Step: 131ms | Tot: 2s16ms | Loss: 4.6281 | Acc: 1.270% (13/1024)
 17/782 [=>..............................................................................]  Step: 133ms | Tot: 2s149ms | Loss: 4.6266 | Acc: 1.195% (13/1088)
 18/782 [=>..............................................................................]  Step: 132ms | Tot: 2s282ms | Loss: 4.6274 | Acc: 1.389% (16/1152)
